address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
341 W 29th St # 1/2,New York,NY,10001,6500000,NA,7.0,10.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/341-W-29th-St-1-2-New-York-NY-10001/2093925609_zpid/
341 W 29th St,New York,NY,10001,6500000,6000.0,7.0,10.0,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/341-W-29th-St-New-York-NY-10001/2090867651_zpid/
W 28th St # 532,New York,NY,10001,NA,120983.0,0.0,NA,61,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/247194502_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
236 W 26th St APT 2W,New York,NY,10001,5500000,4200.0,3.0,5.0,73,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/236-W-26th-St-APT-2W-New-York-NY-10001/2138443114_zpid/
52 W 28th St,New York,NY,10001,8835000,3780.0,0.0,3.0,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/52-W-28th-St-New-York-NY-10001/2091648936_zpid/
245 7th Ave # 6B/6C,New York,NY,10001,5000000,3239.0,4.0,4.0,120,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/245-7th-Ave-6B-6C-New-York-NY-10001/2091551116_zpid/
11 W 30th St APT 9R,New York,NY,10001,3795000,2946.0,2.0,2.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/11-W-30th-St-APT-9R-New-York-NY-10001/244842787_zpid/
15 Hudson Yards # 71B,New York,NY,10001,11880000,3039.0,4.0,5.0,89,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-71B-New-York-NY-10001/2091098605_zpid/
15 Hudson Yards # 63B,New York,NY,10001,7875000,2334.0,2.0,3.0,46,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-63B-New-York-NY-10001/2090450010_zpid/
15 Hudson Yards # 63B,New York,NY,10001,7875000,2334.0,2.0,3.0,46,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-63B-New-York-NY-10001/2090450010_zpid/
50 W 29th St APT 9E,New York,NY,10001,3175000,NA,3.0,2.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/50-W-29th-St-APT-9E-New-York-NY-10001/79496364_zpid/
515 W 29th St APT 2N,New York,NY,10001,5250000,2151.0,3.0,3.0,35,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/515-W-29th-St-APT-2N-New-York-NY-10001/2090240726_zpid/
291 7th Ave APT 3,NEW YORK,NY,10001,4200000,3370.0,2.0,2.0,102,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/291-7th-Ave-APT-3-New-York-NY-10001/55501739_zpid/
15 Hudson Yards # 74F,New York,NY,10001,5030000,1700.0,2.0,3.0,114,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-74F-New-York-NY-10001/2091472687_zpid/
15 Hudson Yards # 75D,New York,NY,10001,5615000,1753.0,2.0,3.0,95,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-75D-New-York-NY-10001/2091212924_zpid/
520 W 28th St # 34,New York,NY,10001,16000000,4023.0,5.0,5.0,57,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/520-W-28th-St-34-New-York-NY-10001/2100711260_zpid/
522 W 29th St # 5A,New York,NY,10001,9750000,3586.0,5.0,5.0,65,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/522-W-29th-St-5A-New-York-NY-10001/2106481374_zpid/
15 Hudson Yards # PH85A,New York,NY,10001,13880000,3364.0,4.0,5.0,114,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-PH85A-New-York-NY-10001/2091472682_zpid/
261 W 25th St # 6D,New York,NY,10001,3975000,1849.0,3.0,3.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/261-W-25th-St-6D-New-York-NY-10001/219650842_zpid/
15 Hudson Yards # 30H,New York,NY,10001,6470000,2220.0,3.0,3.0,46,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-30H-New-York-NY-10001/2090450011_zpid/
15 Hudson Yards # 67E,New York,NY,10001,7575000,2497.0,2.0,3.0,154,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-67E-New-York-NY-10001/2091833309_zpid/
15 Hudson Yards # 34D,New York,NY,10001,3875000,1564.0,2.0,3.0,46,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-34D-New-York-NY-10001/2090450015_zpid/
15 Hudson Yards # 71E,New York,NY,10001,7570000,2292.0,3.0,4.0,156,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-71E-New-York-NY-10001/2091857683_zpid/
130 W 30th St APT 8C,NEW YORK,NY,10001,2550000,2055.0,3.0,3.0,60,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/130-W-30th-St-APT-8C-New-York-NY-10001/63865877_zpid/
245 7th Ave APT 6B,NEW YORK,NY,10001,3700000,2258.0,3.0,3.0,122,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/245-7th-Ave-APT-6B-New-York-NY-10001/31503823_zpid/
522 W 29th St # 5B,New York,NY,10001,6400000,2278.0,3.0,4.0,65,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/522-W-29th-St-5B-New-York-NY-10001/2106481367_zpid/
515 W 29th St APT 5S,New York,NY,10001,5750000,2140.0,2.0,3.0,49,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/515-W-29th-St-APT-5S-New-York-NY-10001/2090490387_zpid/
15 Hudson Yards # PH86D,New York,NY,10001,8475000,2515.0,3.0,4.0,46,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Hudson-Yards-PH86D-New-York-NY-10001/2091850740_zpid/
527 W 27th St # 7A,New York,NY,10001,7550000,2828.0,4.0,5.0,105,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/527-W-27th-St-7A-New-York-NY-10001/2098168072_zpid/
261 W 25th St APT 4B,New York,NY,10001,2795000,1459.0,2.0,3.0,32,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/261-W-25th-St-APT-4B-New-York-NY-10001/2099241956_zpid/
315 W 29th St,New York,NY,10001,7690000,5808.0,14.0,14.0,102,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/315-W-29th-St-New-York-NY-10001/2112495726_zpid/
245 7th Ave APT 4A,NEW YORK,NY,10001,2995000,2002.0,2.0,3.0,72,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/245-7th-Ave-APT-4A-New-York-NY-10001/31503816_zpid/
520 W 28th St # 23,New York,NY,10001,12000000,3840.0,4.0,5.0,401,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/520-W-28th-St-23-New-York-NY-10001/2100706915_zpid/
430 W 34th St APT 17J,New York,NY,10001,435000,NA,0.0,1.0,NA,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/430-W-34th-St-APT-17J-New-York-NY-10001/244727172_zpid/
