,address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
280,228 E 13th St APT 15,New York,NY,10003,525000.0,425.0,1.0,1.0,,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/228-E-13th-St-APT-15-New-York-NY-10003/244840096_zpid/
281,217 E 5th St # TH,New York,NY,10003,3950000.0,2300.0,2.0,3.0,53.0,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/217-E-5th-St-TH-New-York-NY-10003/2092713541_zpid/
282,61 Irving Pl APT 1A,New York,NY,10003,1500000.0,1200.0,2.0,2.0,,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/61-Irving-Pl-APT-1A-New-York-NY-10003/244767425_zpid/
283,105 5th Ave # 3AB,New York,NY,10003,5950000.0,3100.0,3.0,4.0,38.0,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/105-5th-Ave-3AB-New-York-NY-10003/2090319278_zpid/
284,114 E 10th St,NEW YORK,NY,10003,7875000.0,,6.0,5.0,,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/114-E-10th-St-New-York-NY-10003/31496806_zpid/
285,24 Gramercy Park S # 10/11S,New York,NY,10003,3750000.0,1400.0,2.0,2.0,109.0,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/24-Gramercy-Park-S-10-11S-New-York-NY-10003/2091415725_zpid/
286,240 Park Ave S # 16PHA,NEW YORK,NY,10003,6495000.0,2310.0,3.0,4.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/240-Park-Ave-S-16PHA-New-York-NY-10003/97521287_zpid/
287,34 Gramercy Park E # 3BN,New York,NY,10003,1895000.0,,2.0,2.0,39.0,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/34-Gramercy-Park-E-3BN-New-York-NY-10003/2090340307_zpid/
288,25 E 4th St SUITE 2,New York,NY,10003,2795000.0,2000.0,3.0,2.0,,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/25-E-4th-St-SUITE-2-New-York-NY-10003/219642484_zpid/
289,18 Gramercy Park S # M1,NEW YORK,NY,10003,9900000.0,3750.0,2.0,4.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/18-Gramercy-Park-S-M1-New-York-NY-10003/122272263_zpid/
290,35 E 10th St APT 5F,New York,NY,10003,499000.0,,0.0,1.0,,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/35-E-10th-St-APT-5F-New-York-NY-10003/244808845_zpid/
291,65 E 2nd St,NEW YORK,NY,10003,5200000.0,4600.0,8.0,7.0,165.0,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/65-E-2nd-St-New-York-NY-10003/31496552_zpid/
292,28 E 10th St APT 10H,NEW YORK,NY,10003,4750000.0,2004.0,3.0,3.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/28-E-10th-St-APT-10H-New-York-NY-10003/96742595_zpid/
293,355 E 19th St # 4,New York,NY,10003,2950000.0,2001.0,3.0,3.0,87.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/355-E-19th-St-4-New-York-NY-10003/244735673_zpid/
294,210 E 15th St APT 11P,New York,NY,10003,465000.0,,0.0,1.0,91.0,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/210-E-15th-St-APT-11P-New-York-NY-10003/244869652_zpid/
295,111 3rd Ave APT 14A,New York,NY,10003,650000.0,,0.0,1.0,,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/111-3rd-Ave-APT-14A-New-York-NY-10003/244757643_zpid/
296,215 E 19th St # 7A,New York,NY,10003,3940000.0,1850.0,2.0,3.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/215-E-19th-St-7A-New-York-NY-10003/2097115804_zpid/
297,21 E 12th St # 5A,New York,NY,10003,3975000.0,1478.0,2.0,3.0,282.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/21-E-12th-St-5A-New-York-NY-10003/2093270260_zpid/
298,39 E 10th St APT 3W,New York,NY,10003,2050000.0,,3.0,2.0,,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/39-E-10th-St-APT-3W-New-York-NY-10003/244782627_zpid/
299,874 Broadway APT 407,New York,NY,10003,1500000.0,,2.0,2.0,,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/874-Broadway-APT-407-New-York-NY-10003/244858275_zpid/
300,343 E 18th St,NEW YORK,NY,10003,8950000.0,6000.0,6.0,5.0,,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/343-E-18th-St-New-York-NY-10003/31508851_zpid/
301,60 E 13th St APT 3E,New York,NY,10003,4249500.0,2575.0,4.0,3.0,389.0,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/60-E-13th-St-APT-3E-New-York-NY-10003/2112318451_zpid/
302,738 Broadway APT PH1,New York,NY,10003,5745000.0,3188.0,3.0,3.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/738-Broadway-APT-PH1-New-York-NY-10003/2091844381_zpid/
303,13 E 16th St STE 8R,New York,NY,10003,2500000.0,1318.0,2.0,2.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/13-E-16th-St-STE-8R-New-York-NY-10003/2125905309_zpid/
304,32 E 1st St # PHC,New York,NY,10003,10500000.0,2887.0,4.0,5.0,,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/32-E-1st-St-PHC-New-York-NY-10003/2091487634_zpid/
305,131 5th Ave APT 602,New York,NY,10003,2995000.0,1800.0,3.0,3.0,,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/131-5th-Ave-APT-602-New-York-NY-10003/2091351335_zpid/
306,117 E 10th St APT 2,New York,NY,10003,2000000.0,970.0,1.0,1.0,92.0,Co-op For Sale,http://www.zillow.com/homes/for_sale//homedetails/117-E-10th-St-APT-2-New-York-NY-10003/244713786_zpid/
